trip_id,timestamp,hour,day_of_week,is_weekend,vehicle_id,vehicle_type,vehicle_lat,vehicle_lon,origin_lat,origin_lon,dest_lat,dest_lon,pickup_distance,pickup_eta,trip_distance,trip_duration,surge_multiplier,fare,user_preference,lat_bin,lon_bin,grid_id
TRIP_000001,2024-03-02 06:39:00,6,5,True,VEH_1802,SUV,13.007579,77.65565,13.032063,77.737405,13.02007,77.748321,9.25,15.75,1.78,3.15,1.15,187.85,cheap,1303,7773,1303_7773
TRIP_000002,2024-05-07 03:29:00,3,1,False,VEH_2510,Mini,13.085762,77.727982,12.944116,77.730217,12.898442,77.534035,15.72,28.52,21.82,44.76,1.04,370.21,fast,1294,7773,1294_7773
TRIP_000003,2024-05-01 08:48:00,8,2,False,VEH_0587,Auto,12.936337,77.622043,13.112997,77.645088,12.892134,77.48719,19.77,76.95,29.87,146.47,1.89,1019.78,balanced,1311,7764,1311_7764
TRIP_000004,2024-06-23 04:28:00,4,6,True,VEH_1556,SUV,12.883759,77.574075,12.96002,77.703451,13.135613,77.562105,16.36,21.78,24.77,35.31,1.05,800.94,balanced,1296,7770,1296_7770
TRIP_000005,2024-01-11 19:41:00,19,3,False,VEH_1572,Mini,12.989488,77.733553,12.867118,77.687177,13.059924,77.61824,14.48,67.2,22.66,107.65,1.5,680.83,cheap,1286,7768,1286_7768
TRIP_000006,2024-02-27 12:55:00,12,1,False,VEH_1234,Sedan,13.121349,77.63411,12.988684,77.478051,12.989763,77.642745,22.39,46.33,17.81,43.36,1.02,467.76,fast,1298,7747,1298_7747
TRIP_000007,2024-04-20 06:25:00,6,5,True,VEH_1924,Mini,13.144375,77.52159,12.948616,77.545185,13.148931,77.595889,21.88,28.92,22.9,33.03,1.06,331.5,cheap,1294,7754,1294_7754
TRIP_000008,2024-04-30 04:40:00,4,1,False,VEH_1278,SUV,13.102033,77.490292,12.914041,77.620462,13.146343,77.682262,25.17,52.3,26.64,40.65,1.16,958.06,cheap,1291,7762,1291_7762
TRIP_000009,2024-01-14 06:55:00,6,6,True,VEH_2588,Sedan,13.094687,77.546804,12.856883,77.677585,12.976876,77.525621,29.94,49.15,21.16,35.29,1.05,475.02,balanced,1285,7767,1285_7767
TRIP_000010,2024-04-25 13:33:00,13,3,False,VEH_2108,SUV,13.097113,77.643813,12.914231,77.717922,12.905223,77.466123,21.82,45.23,27.26,67.35,1.19,988.78,cheap,1291,7771,1291_7771
TRIP_000011,2024-03-30 13:30:00,13,5,True,VEH_2478,Sedan,13.123195,77.456298,12.99265,77.656649,12.898207,77.659007,26.06,55.33,10.49,19.47,1.08,283.29,balanced,1299,7765,1299_7765
TRIP_000012,2024-02-20 02:46:00,2,1,False,VEH_2430,Mini,13.143429,77.577146,13.050389,77.634954,12.94712,77.74591,12.07,17.6,16.59,25.93,1.15,291.64,cheap,1305,7763,1305_7763
TRIP_000013,2024-04-27 04:31:00,4,5,True,VEH_1812,SUV,13.080808,77.657666,13.10929,77.484082,13.140993,77.571916,19.03,26.97,10.13,18.05,1.09,430.8,cheap,1310,7748,1310_7748
TRIP_000014,2024-06-11 14:40:00,14,1,False,VEH_2666,Mini,12.982219,77.723891,13.140837,77.479234,12.915587,77.74371,31.78,78.8,37.98,89.5,1.03,586.65,fast,1314,7747,1314_7747
TRIP_000015,2024-02-23 06:43:00,6,4,False,VEH_1994,Sedan,12.893841,77.588313,13.023051,77.454311,13.094134,77.454857,20.39,30.17,7.89,13.52,1.17,279.02,balanced,1302,7745,1302_7745
TRIP_000016,2024-04-26 13:26:00,13,4,False,VEH_1284,Mini,13.068228,77.717632,12.955519,77.698456,12.977755,77.742221,12.68,32.57,5.34,10.95,1.09,131.59,balanced,1295,7769,1295_7769
TRIP_000017,2024-06-01 05:34:00,5,5,True,VEH_0893,Mini,12.998844,77.603235,12.980763,77.535508,13.047882,77.654085,7.59,10.3,14.83,19.6,1.19,293.68,cheap,1298,7753,1298_7753
TRIP_000018,2024-01-23 03:05:00,3,1,False,VEH_2115,Auto,13.043288,77.46267,13.044887,77.634878,12.973384,77.598921,18.62,29.0,8.84,12.94,1.02,154.49,balanced,1304,7763,1304_7763
TRIP_000019,2024-01-09 21:18:00,21,1,False,VEH_0476,SUV,12.890023,77.55569,13.105512,77.513561,13.083064,77.615476,24.35,69.09,11.3,23.73,1.19,483.54,fast,1310,7751,1310_7751
TRIP_000020,2024-04-15 20:45:00,20,0,False,VEH_2591,Mini,12.881766,77.54701,13.085391,77.568743,13.131885,77.684659,22.72,90.62,13.55,59.77,1.73,473.39,fast,1308,7756,1308_7756
TRIP_000021,2024-06-21 07:00:00,7,4,False,VEH_2693,Mini,13.063583,77.710958,13.120056,77.574367,12.854659,77.496013,16.04,67.57,30.65,108.82,1.86,1003.27,fast,1312,7757,1312_7757
TRIP_000022,2024-02-13 18:27:00,18,1,False,VEH_0111,Auto,12.91673,77.694976,12.922549,77.742047,12.907798,77.64333,5.13,18.15,10.8,38.57,1.66,319.41,balanced,1292,7774,1292_7774
TRIP_000023,2024-04-09 23:11:00,23,1,False,VEH_0874,Auto,12.959624,77.654883,12.970936,77.545437,12.897533,77.519291,11.91,18.83,8.62,17.38,1.02,160.09,fast,1297,7754,1297_7754
TRIP_000024,2024-06-09 08:53:00,8,6,True,VEH_0900,Auto,13.015859,77.724184,13.015872,77.73461,12.911129,77.47798,1.13,3.86,30.09,95.39,1.67,777.33,balanced,1301,7773,1301_7773
TRIP_000025,2024-05-19 02:36:00,2,6,True,VEH_2461,Sedan,12.976618,77.508622,12.964721,77.672702,12.889164,77.586112,17.8,24.15,12.57,19.04,1.05,348.59,fast,1296,7767,1296_7767
TRIP_000026,2024-02-19 17:53:00,17,0,False,VEH_0759,Mini,12.981536,77.537399,12.923576,77.684009,13.085814,77.681117,17.11,64.35,18.01,79.17,1.95,709.57,balanced,1292,7768,1292_7768
TRIP_000027,2024-05-28 03:07:00,3,1,False,VEH_2021,SUV,12.858778,77.493667,12.987738,77.628768,12.882123,77.534739,20.46,30.29,15.52,31.78,1.1,562.61,cheap,1298,7762,1298_7762
TRIP_000028,2024-04-10 03:31:00,3,2,False,VEH_0966,SUV,12.90283,77.627756,13.088632,77.574124,12.995955,77.637705,21.42,41.54,12.37,21.91,1.18,519.76,fast,1308,7757,1308_7757
TRIP_000029,2024-02-11 05:19:00,5,6,True,VEH_0782,SUV,13.004798,77.615573,12.853042,77.503603,13.020188,77.631996,20.75,36.47,23.18,27.82,1.2,800.62,balanced,1285,7750,1285_7750
TRIP_000030,2024-06-02 17:00:00,17,6,True,VEH_2364,SUV,12.875394,77.610063,12.897516,77.672509,13.127975,77.507854,7.19,29.52,31.17,128.41,1.61,1666.68,fast,1289,7767,1289_7767
TRIP_000031,2024-01-30 06:01:00,6,1,False,VEH_1510,Mini,13.097093,77.529745,12.948262,77.515928,13.068323,77.731954,16.59,31.35,26.9,46.46,1.19,463.87,balanced,1294,7751,1294_7751
TRIP_000032,2024-06-15 09:29:00,9,5,True,VEH_2939,Sedan,13.086657,77.708514,13.073558,77.598741,13.003797,77.569983,11.96,45.44,8.34,32.0,1.75,510.09,fast,1307,7759,1307_7759
TRIP_000033,2024-04-10 03:37:00,3,2,False,VEH_2400,Mini,13.032636,77.451284,13.087946,77.626274,12.899696,77.51175,19.89,31.32,24.29,42.78,1.09,404.26,fast,1308,7762,1308_7762
TRIP_000034,2024-03-22 19:06:00,19,4,False,VEH_2569,Mini,12.969002,77.453221,13.032189,77.578794,13.020143,77.562188,15.29,58.07,2.24,10.85,1.33,112.94,balanced,1303,7757,1303_7757
TRIP_000035,2024-03-05 18:26:00,18,1,False,VEH_1071,SUV,12.987699,77.515463,12.938042,77.698006,13.043529,77.739544,20.5,87.15,12.54,61.78,1.34,704.83,cheap,1293,7769,1293_7769
TRIP_000036,2024-04-01 07:04:00,7,0,False,VEH_0737,Auto,12.876189,77.579294,12.914555,77.561498,12.893512,77.544336,4.67,23.26,2.98,11.1,1.77,133.94,balanced,1291,7756,1291_7756
TRIP_000037,2024-03-23 07:35:00,7,5,True,VEH_2772,Sedan,12.906422,77.539913,12.869871,77.535084,12.913653,77.515239,4.09,13.31,5.31,16.3,1.96,403.09,balanced,1286,7753,1286_7753
TRIP_000038,2024-01-20 18:57:00,18,5,True,VEH_1657,SUV,13.007617,77.748507,13.043881,77.65464,12.980562,77.694018,10.92,41.4,8.22,33.41,1.6,561.61,fast,1304,7765,1304_7765
TRIP_000039,2024-04-17 03:07:00,3,2,False,VEH_2862,SUV,12.862267,77.465639,12.985836,77.630429,13.027351,77.520927,22.5,47.7,12.71,26.99,1.16,529.43,cheap,1298,7763,1298_7763
TRIP_000040,2024-04-28 09:08:00,9,6,True,VEH_2088,Auto,12.899988,77.539856,13.102493,77.570843,13.118749,77.72541,22.73,92.88,16.81,52.96,1.26,344.62,fast,1310,7757,1310_7757
TRIP_000041,2024-03-18 08:20:00,8,0,False,VEH_1028,Auto,13.092538,77.487856,13.076108,77.570103,13.016935,77.543952,9.08,34.75,7.15,29.88,1.76,260.66,balanced,1307,7757,1307_7757
TRIP_000042,2024-02-01 11:39:00,11,3,False,VEH_2918,Mini,12.892791,77.638215,12.880823,77.517204,13.097637,77.49162,13.16,26.38,24.23,50.8,1.14,415.05,cheap,1288,7751,1288_7751
